# index, label, _pos
938,"TAYLOR, W","array([90.04509941, 31.11230955])"
939,"KREBS, V","array([ 21.18556543, 126.62265228])"
940,"KREE, R","array([ 95.15680178, -26.06647344])"
941,"KRETZSCHMAR, M","array([81.23636936, 29.78201154])"
942,"VANDUYNHOVEN, Y","array([81.70972869, 32.15144982])"
943,"SEVERIJNEN, A","array([79.4637248 , 31.38827284])"
944,"SIVAKUMAR, D","array([19.97598076, 71.0796219 ])"
945,"UPFAL, E","array([20.04785017, 72.78948082])"
946,"ZANETTE, D","array([14.49985944, -2.10972036])"
947,"KURAMOTO, Y","array([95.13155467, 61.64644042])"
948,"NAKAO, H","array([93.44860629, 63.61144152])"
949,"KWON, O","array([ 42.58202814, -72.99886095])"
950,"MOON, H","array([ 44.91322632, -72.51646087])"
951,"LAGOFERNANDEZ, L","array([91.86920409, 74.72013619])"
952,"CORBACHO, F","array([89.91085437, 74.51305115])"
953,"HUERTA, R","array([92.10773214, 72.6325648 ])"
954,"SIGUENZA, J","array([90.08208651, 72.43028629])"
955,"LAHTINEN, J","array([48.84080323, 69.61711303])"
956,"KASKI, K","array([46.72779366, 70.67747935])"
957,"LAWNICZAK, A","array([-29.8482903 , -20.04510759])"
958,"MAXIE, K","array([-32.14043241, -20.47525846])"
959,"GERISCH, A","array([-30.61184632, -22.24689754])"
960,"LEE, L","array([-31.87748587,   5.04174157])"
961,"HARRISON, L","array([-31.28430955,   2.78428177])"
962,"MECHELLI, A","array([-29.63740433,   4.43424154])"
963,"LEONE, M","array([ 9.41272962, 28.66213029])"
964,"ZECCHINA, R","array([10.91840243, 28.00901937])"
965,"LEVANQUYEN, M","array([122.51884587,  38.80556687])"
966,"QUILICHINI, P","array([119.38736598,  38.02123656])"
967,"BERNARD, C","array([121.47477512,  40.51376671])"
968,"ESCLAPEZ, M","array([121.25789273,  37.29085988])"
969,"BENARI, Y","array([119.54596824,  40.0619716 ])"
970,"GOZLAN, H","array([120.86217509,  38.94233351])"
971,"LEVIN, S","array([-50.04335254,  50.18330744])"
972,"LI, C","array([-37.66069887, -56.19009484])"
973,"CHEN, G","array([-35.7789164 , -58.56702178])"
974,"LIEBERMAN, E","array([-33.48541044,  13.99106815])"
975,"HAUERT, C","array([-31.74585646,  12.53849597])"
976,"NOWAK, M","array([-31.07080099,  15.14443944])"
977,"ABERG, Y","array([20.74019747, 42.91454649])"
978,"LI, R","array([-61.80530616, -37.52325696])"
979,"ERNEUX, T","array([-64.01700351, -38.31424779])"
980,"LI, S","array([ 34.37054096, -39.63818824])"
981,"WAND, H","array([ 32.38361839, -40.90284866])"
982,"OUYANG, Q","array([ 34.47653016, -42.03664853])"
983,"LIU, Z","array([-16.28981149,  17.21710022])"
984,"LAI, Y","array([-13.37329354,  17.78701941])"
985,"HOPPENSTEADT, F","array([-13.83201023,  15.78510812])"
986,"YE, N","array([-16.38694175,  19.51116353])"
987,"LI, W","array([-51.43473703,  -5.19375179])"
988,"CAI, X","array([-50.53826006,  -3.09631268])"
989,"LI, X","array([-34.79669704, -55.51108582])"
990,"LLINAS, R","array([ 39.33925907, -48.90864335])"
991,"LLOYD, A","array([-26.59945898,  13.06996793])"
992,"LOCKHART, D","array([-42.76444488,  -9.33774829])"
993,"WINZELER, E","array([-44.83798563,  -8.28602331])"
994,"LOGOTHETIS, N","array([ 64.0619776 , -44.00291067])"
995,"PAULS, J","array([ 61.2991448 , -43.07336509])"
996,"AUGATH, M","array([ 61.2822316 , -44.84491173])"
997,"TRINATH, T","array([ 62.98281027, -45.43240127])"
998,"OELTERMANN, A","array([ 63.05378677, -42.53545473])"
999,"LORRAIN, F","array([ 39.32640199, -15.45727628])"
1000,"WHITE, H","array([ 43.08409333, -15.55534373])"
1001,"LOTKA, A","array([11.00457257, 88.64449361])"
1002,"LU, J","array([-32.49980722, -60.1118499 ])"
1003,"YU, X","array([-34.39849713, -60.68263899])"
1004,"CHEN, D","array([-33.20563068, -58.27959857])"
1005,"LUSSEAU, D","array([27.35382994, 54.65473749])"
1006,"LU, W","array([-15.54247973,  77.84062316])"
1007,"CHEN, T","array([-14.13906427,  79.67567611])"
1008,"MACDONALD, P","array([51.39794487, 33.57597758])"
1009,"MACGRAW, P","array([117.04652727, -14.64680022])"
1010,"MENZINGER, M","array([116.76028055, -17.14456692])"
1011,"MAHADEVAN, R","array([ -3.33578183, -11.55887595])"
1012,"PALSSON, B","array([-4.45610615, -9.52901712])"
1013,"MA, H","array([-55.65321046, -38.39912936])"
1014,"ZENG, A","array([-54.34835309, -40.38674382])"
1015,"MAJORANA, E","array([-37.77137712, -47.69526505])"
1016,"MANGAN, S","array([74.77078741, 76.85679538])"
1017,"MANNA, S","array([ 11.45963667, 116.4381342 ])"
1018,"SEN, P","array([ 10.29779499, 115.02141884])"
1019,"MARI, C","array([-20.68245339,  42.18051715])"
1020,"MARIOLIS, P","array([-45.60078568,  66.93124238])"
1021,"RIGON, R","array([-1.43753869, 28.09586719])"
1022,"GIACOMETTI, A","array([ 0.32992481, 27.80697944])"
1023,"RODRIGUEZITURBE, I","array([ 0.24993403, 29.54715271])"
1024,"MARODI, M","array([39.82261259, 29.15271021])"
1025,"DOVIDIO, F","array([39.25223833, 30.95011865])"
1026,"MARRO, J","array([30.30063017, 20.80333638])"
1027,"DICKMAN, R","array([31.46277277, 17.40879589])"
1028,"MARTIN, R","array([ 21.21580355, -27.56433423])"
1029,"ANDRAS, P","array([ 20.66302969, -26.08719724])"
1030,"ZALIZNYAK, A","array([37.7462017 , 51.99751787])"
1031,"MASOLLER, C","array([ 37.99868518, -81.6033946 ])"
1032,"MARTI, A","array([ 38.42908223, -79.28953034])"
1033,"MASSUNAGA, M","array([-45.75578662,  84.41625393])"
1034,"BAHIANA, M","array([-48.02220424,  84.95369525])"
1035,"MASUDA, N","array([-22.0629051 , -74.90623768])"
1036,"AIHARA, K","array([-19.6359586, -75.9027361])"
1037,"MIWA, H","array([-24.5714922 , -75.21657352])"
1038,"KONNO, N","array([-23.70702264, -73.01079267])"
1039,"MATTHEWS, P","array([18.90790746, 63.21270122])"
1040,"MIROLLO, R","array([20.50091274, 64.14937706])"
1041,"VALLONE, A","array([-1.19169898, 17.01032575])"
1042,"MCCANN, K","array([74.53898284, 15.53029262])"
1043,"HASTINGS, A","array([75.94760796, 17.45253375])"
1044,"HUXEL, G","array([76.87382353, 15.3118009 ])"
1045,"MCGRAW, P","array([116.55269074, -19.58907783])"
1046,"MEESTER, R","array([-40.4936875 ,  26.97304392])"
1047,"MEHRING, C","array([102.35377244,  15.15934988])"
1048,"HEHL, U","array([102.60102503,  13.44115072])"
1049,"KUBO, M","array([105.08713529,  14.50160216])"
1050,"DIESMANN, M","array([104.01296446,  15.85897976])"
1051,"MEHTA, M","array([85.40623537, -4.40753691])"
1052,"MELIN, G","array([ 51.88011077, -67.23398324])"
1053,"PERSSON, O","array([ 51.42306448, -64.94667872])"
1054,"MENCZER, F","array([ 86.76565822, -46.583615  ])"
1055,"BELEW, R","array([ 85.40214037, -48.95027764])"
1056,"PANT, G","array([ 86.45823789, -44.39365212])"
1057,"RUIZ, M","array([ 88.44526197, -43.93617517])"
1058,"SRINIVASAN, P","array([ 88.85670719, -45.96092957])"
1059,"MERTON, R","array([-8.77165607, 79.95345822])"
1060,"MEWES, H","array([-39.35145685, -30.8429338 ])"
1061,"FRISHMAN, D","array([-36.27462217, -29.13397828])"
1062,"GULDENER, U","array([-35.93828239, -31.64127801])"
1063,"MANNHAUPT, G","array([-35.51764491, -30.33800188])"
1064,"MAYER, K","array([-37.99537331, -30.79968236])"
1065,"MOKREJS, M","array([-37.06269031, -32.30388066])"
1066,"MORGENSTERN, B","array([-38.66870128, -29.49057479])"
1067,"MUNSTERKOTTER, M","array([-36.84098143, -30.42728296])"
1068,"RUDD, S","array([-38.35335221, -32.09194126])"
1069,"WEIL, B","array([-37.58892324, -28.86961112])"
1070,"LEVITT, R","array([73.09057539, 75.03633303])"
1071,"SHENORR, S","array([71.78097505, 77.25208804])"
1072,"AYZENSHTAT, I","array([73.03786334, 76.47069139])"
1073,"SHEFFER, M","array([71.45576546, 74.20247325])"
1074,"LEVY, W","array([ 91.87130303, -16.77958077])"
1075,"MITCHELL, M","array([-32.98229764,  88.34727875])"
1076,"MIZRUCHI, M","array([-14.23811194,  63.30985805])"
1077,"MOHAR, B","array([ 40.02416362, -36.08073764])"
1078,"MOLLOY, M","array([102.11134858,   2.81208544])"
1079,"REED, B","array([104.49525293,   2.52392661])"
1080,"MONASSON, R","array([  1.88637991, -11.55799474])"
1081,"MONTOYA, J","array([17.83989427, 45.38049682])"
1082,"MOREIRA, A","array([22.2060974 , 40.45946439])"
1083,"ANDRADE, J","array([21.65138301, 38.72782746])"
1084,"MORELLI, L","array([12.03226773, -6.34397084])"
1085,"MORENO, J","array([ 15.85631896, -60.96546782])"
1086,"GOMEZ, J","array([ 8.48901736, 21.71997448])"
1087,"PACHECO, A","array([ 8.62808259, 23.55655913])"
1088,"NEKOVEE, M","array([10.15118545, 25.70811421])"
1089,"VAZQUEZPRADA, M","array([ 6.20206128, 23.26554852])"
1090,"MORRIS, M","array([-26.42657177,  75.70954417])"
1091,"DASGUPTA, P","array([-11.87476663,  19.60432902])"
1092,"NISHIKAWA, T","array([-12.04041898,  15.3819202 ])"
1093,"MROWKA, R","array([-75.88898139, -24.98897995])"
1094,"PATZAK, A","array([-74.99957612, -23.13647929])"
1095,"HERZEL, H","array([-74.02233253, -25.89060264])"
1096,"HOLSTE, D","array([-73.16159081, -24.00787267])"
1097,"MULLER, J","array([106.6661233 , -11.59227045])"
1098,"SCHONFISCH, B","array([106.48253843,  -9.22043892])"
1099,"KIRKILIONIS, M","array([108.6494279 , -10.22584486])"
1100,"MURRAY, J","array([42.58522247, 98.30325969])"
1101,"NAGUMO, J","array([94.63641097,  9.21697238])"
1102,"ARIMOTO, S","array([92.25852453,  9.69315688])"
1103,"YOSHIZAWA, S","array([93.04594388,  7.44500367])"
1104,"NAKAMURA, I","array([-54.29187563,   1.08489984])"
1105,"NEIMAN, A","array([ 26.71141486, -13.98394018])"
1106,"PEI, X","array([ 27.09730138, -16.63951823])"
1107,"RUSSELL, D","array([ 23.85031359, -16.9978326 ])"
1108,"WOJTENEK, W","array([ 25.28743987, -13.8067174 ])"
1109,"WILKENS, L","array([ 27.53036026, -15.24781464])"
1110,"MOSS, F","array([ 26.14964055, -15.34814748])"
1111,"BRAUN, H","array([ 24.86543838, -15.80720109])"
1112,"HUBER, M","array([ 24.15349501, -14.61719788])"
1113,"VOIGT, K","array([ 25.74297911, -17.07640342])"
1114,"NEMETH, G","array([-6.22464734, 86.45213179])"
1115,"VATTAY, G","array([-5.72679838, 84.11273351])"
1116,"NETOFF, T","array([90.7496014 , 89.73175732])"
1117,"CLEWLEY, R","array([91.23412571, 87.08167984])"
1118,"ARNO, S","array([89.20168248, 88.95769709])"
1119,"KECK, T","array([89.55176577, 87.1598519 ])"
1120,"WHITE, J","array([92.65181263, 88.72958212])"
1121,"FORREST, S","array([25.13688394, 54.09434181])"
1122,"BALTHROP, J","array([23.84931228, 55.37294301])"
1123,"LEICHT, E","array([30.4271754 , 50.72400345])"
1124,"NIEBUR, E","array([-56.18647759, -24.49294534])"
1125,"KAMMEN, D","array([-56.04124779, -26.97971062])"
1126,"NIEMINEN, J","array([ 22.30231762, -86.07822298])"
1127,"NOH, J","array([-52.89945276,  54.30213398])"
1128,"RIEGER, H","array([-52.99013442,  56.65030528])"
1129,"SIGMUND, K","array([-32.42372213,  17.61010232])"
1130,"RHO, K","array([41.56700374, 42.32571341])"
1131,"OHIRA, T","array([-21.89682038,  60.96857471])"
1132,"SAWATARI, R","array([-23.45101301,  59.17888658])"
1133,"OKANE, D","array([-55.62387293,  48.83017596])"
1134,"TREVES, A","array([-57.17639882,  47.10072777])"
1135,"ONNELA, J","array([45.5645148 , 72.29313792])"
1136,"CHAKRABORTI, A","array([47.0630714 , 72.98505992])"
1137,"KANTO, A","array([48.25348034, 71.72533265])"
1138,"JARISARAMAKI, J","array([44.21437789, 70.99919779])"
1139,"ONODY, R","array([117.80279807,  60.21870226])"
1140,"DECASTRO, P","array([116.74164729,  62.32498674])"
1141,"OOSAWA, C","array([ 5.3438313 , 86.31804823])"
1142,"SAVAGEAU, M","array([ 2.80395746, 85.86080753])"
1143,"ORAM, A","array([-64.95070237, -44.98529194])"
1144,"OSBORNE, M","array([-58.44000354,  55.68526269])"
1145,"ROSENBLUM, M","array([-5.44686593,  9.35551199])"
1146,"OTSUKA, K","array([-4.14382386e+01,  1.28048728e-02])"
1147,"KAWAI, R","array([-41.97980012,  -1.70414351])"
1148,"HWONG, S","array([-43.77564929,  -1.68395494])"
1149,"KO, J","array([-4.43478141e+01,  7.50041369e-03])"
1150,"CHERN, J","array([-42.89767157,   1.0921781 ])"
1151,"OVERBAY, T","array([-45.29501874,  46.95789798])"
1152,"OVERBEEK, R","array([110.23511777,  26.78981093])"
1153,"LARSEN, N","array([110.23659571,  24.88848892])"
1154,"PUSCH, G","array([111.33949651,  25.73080137])"
1155,"DSOUZA, M","array([107.84137238,  26.50316846])"
1156,"SELKOVJR, E","array([110.02374876,  28.30011184])"
1157,"KYRPIDES, N","array([111.43930606,  27.37725012])"
1158,"FONSTEIN, M","array([109.17093588,  26.19551434])"
1159,"MALTSEV, N","array([108.63956874,  27.85427177])"
1160,"SELKOV, E","array([108.7292308 ,  24.93587413])"
1161,"OZANA, M","array([ 44.62320423, -47.67199062])"
1162,"BASSLER, K","array([69.93102336, 37.86715226])"
1163,"CORRAL, A","array([72.4230342 , 36.06664139])"
1164,"PADGETT, J","array([-65.92779306,  14.25415756])"
1165,"ANSELL, C","array([-63.85880727,  15.29055148])"
1166,"MOTWANI, R","array([ -1.97417706, 119.31795906])"
1167,"WINOGRAD, T","array([ -3.95352955, 118.73370249])"
1168,"PANDEY, A","array([-35.70139588, -41.77961257])"
1169,"MANN, M","array([-33.73027447, -42.98015964])"
1170,"PANDIT, S","array([ 9.02305592, 93.5413139 ])"
1171,"PANDYA, R","array([ 57.40490725, -21.18248574])"
1172,"PARK, J","array([26.62321482, 52.64872545])"
1173,"PARMANANDA, P","array([ 67.89127256, -12.01617113])"
1174,"PASEMANN, F","array([-68.1225506 , -16.63797335])"
1175,"PASSINGHAM, R","array([ 10.74866644, -29.58275323])"
1176,"STHEPAN, K","array([ 11.72464781, -31.12671513])"
1177,"RUBI, M","array([ 9.94874283, 35.30547   ])"
1178,"SMITH, E","array([15.24172124, 41.76972734])"
1179,"PEKALSKI, A","array([-48.86925476, -44.77980916])"
1180,"PENNOCK, D","array([13.1180007 , 71.13156317])"
1181,"GLOVER, E","array([14.84499336, 70.9775705 ])"
1182,"PETERMANNN, T","array([30.62219226, 28.16987103])"
1183,"PIMM, S","array([-45.59415701, -22.4430787 ])"
1184,"PINTO, S","array([-37.39318955,  83.7606501 ])"
1185,"LOPES, S","array([-36.26025391,  81.74918639])"
1186,"VIANA, R","array([-38.62762024,  81.7562885 ])"
1187,"PIOT, P","array([-40.39361227,  61.11754801])"
1188,"PITTS, F","array([ 13.93410038, 126.96652765])"
1189,"PLUCHINO, A","array([52.72866846, 54.6799041 ])"
1190,"PODANI, J","array([44.77302924, 38.23265562])"
1191,"SZATHMARY, E","array([46.00140333, 37.27289839])"
1192,"POLIS, G","array([124.9623517 ,  13.63876887])"
1193,"POOL, I","array([-26.99892534,  64.63431128])"
1194,"KOCHEN, M","array([-29.30708953,  65.18385932])"
1195,"PORTER, M","array([30.7051694 , 60.53775337])"
1196,"MUCHA, P","array([28.93792368, 59.96219203])"
1197,"WARMBRAND, C","array([30.12718997, 58.67259456])"
1198,"POTHEN, A","array([ 71.96266687, -52.64183945])"
1199,"SIMON, H","array([ 73.58602149, -54.38654995])"
1200,"LIOU, K","array([ 74.32358841, -52.12969361])"
1201,"ROTHENBERG, R","array([ 43.31320143, -20.18968282])"
1202,"ZIMMERMANROGER, H","array([ 44.64053124, -17.05675976])"
1203,"GREEN, D","array([ 42.37505172, -17.26254678])"
1204,"TAYLOR, J","array([ 42.0113372 , -18.71749483])"
1205,"BONNEY, M","array([ 43.60439273, -18.0317012 ])"
1206,"PHILLIPSPLUMMER, L","array([ 45.34847201, -21.37152868])"
1207,"MALDONADOLONG, T","array([ 44.30427768, -22.38881507])"
1208,"ZIMMERMAN, H","array([ 45.92931193, -22.79313063])"
1209,"POWELL, W","array([  4.58006545, -59.52681159])"
1210,"WHITE, D","array([  3.40445657, -57.81467183])"
1211,"KOPUT, K","array([  5.12612197, -56.63223162])"
1212,"OWENSMITH, J","array([  6.31397145, -58.35615349])"
1213,"PRICE, D","array([53.08635676,  3.9371487 ])"
1214,"RADICCHI, F","array([15.75571555, 19.1727298 ])"
1215,"CECCONI, F","array([15.47821358, 20.84727453])"
1216,"LORETO, V","array([13.98985501, 18.73613075])"
1217,"PARISI, D","array([13.45088103, 20.32369169])"
1218,"RAGHAVACHARI, S","array([95.82518369, 36.73608583])"
1219,"GLAZIER, J","array([93.58394326, 37.27712651])"
1220,"RAIN, J","array([-70.62083235, -35.27154771])"
1221,"RAMASCO, J","array([15.37700049, 32.43445283])"
1222,"RAMEZANPOUR, A","array([ 81.26332336, -57.70876756])"
1223,"KARIMIPOUR, V","array([ 81.80248329, -60.04510423])"
1224,"MASHAGHI, A","array([ 79.47776404, -59.33109267])"
1225,"RAPOPORT, A","array([-19.5711242 ,  85.32974401])"
1226,"CHAMMAH, A","array([-21.78044837,  86.61557923])"
1227,"HORVATH, W","array([-17.29515894,  86.51049613])"
1228,"SOMERA, A","array([48.42977197, 34.47874616])"
1229,"MONGRU, D","array([47.6577423 , 35.82237125])"
1230,"REICHARDT, J","array([-63.86872061, -28.52330655])"
1231,"RESNICK, P","array([97.84049608, 49.08013196])"
1232,"VARIAN, H","array([97.17429023, 51.31698291])"
1233,"RESS, G","array([-51.56030613, -23.78288545])"
1234,"KREIMAN, G","array([-53.33985613, -22.60655852])"
1235,"RESTREPO, J","array([-42.68944101,  35.22086359])"
1236,"HUNT, B","array([-44.72458149,  34.72008547])"
1237,"RIVES, A","array([-70.90954934,  72.92846016])"
1238,"GALITSKI, T","array([-73.20431606,  72.20493874])"
1239,"DARBYDOWMAN, K","array([60.36358095, 43.1407028 ])"
1240,"ROETHLISBERGER, F","array([-22.45477377,  97.17567739])"
1241,"DICKSON, W","array([-21.18294075,  99.18772504])"
1242,"ROGERS, J","array([54.19731571, 91.5671167 ])"
1243,"WILLE, L","array([53.41372439, 93.83457987])"
1244,"ROGISTER, F","array([-37.73369004,  28.2347262 ])"
1245,"THORNBURG, K","array([-35.25950487,  29.08999154])"
1246,"FABINY, L","array([-36.23316989,  27.47759383])"
1247,"MOLLER, M","array([-36.57250385,  30.21911994])"
1248,"ROMANO, S","array([-26.99580781,  31.545339  ])"
1249,"EGUIA, M","array([-28.63169425,  33.17957365])"
1250,"ROSA, E","array([-46.1291223 ,  31.93963222])"
1251,"HESS, M","array([-45.3194089,  30.0011225])"
1252,"ROSATO, V","array([-14.24608034, -70.25023073])"
1253,"BOLOGNA, S","array([-14.27759556, -67.90777113])"
1254,"TIRITICCO, F","array([-12.21846628, -69.09855218])"
1255,"ROSVALL, M","array([34.54500424, 50.59160432])"
1256,"BALDWIN, J","array([ 40.80380259, -21.28175063])"
1257,"TROTTER, R","array([ 41.93409567, -22.85759823])"
1258,"ROUGEMONT, J","array([-38.80654198, -19.98395082])"
1259,"HINGAMP, P","array([-41.09562259, -20.19661183])"
1260,"ROXIN, A","array([ 33.11967673, 111.41962175])"
1261,"RIECKE, H","array([ 32.99082016, 113.77040045])"
1262,"SOLLA, S","array([ 31.03111579, 112.49650235])"
1263,"ROZENFELD, A","array([54.81484725, 29.14613989])"
1264,"RULKOV, N","array([92.59917532, 19.00410508])"
1265,"SUSHCHIK, M","array([92.33516758, 16.07768898])"
1266,"TSIMRING, L","array([93.95570593, 17.38890422])"
1267,"ABARBANEL, H","array([91.01216549, 17.66430027])"
1268,"GOMEZ, S","array([-21.41596452,  36.61346764])"
1269,"SABIDUSSI, G","array([-0.24724019, -5.89884687])"
1270,"SACHTJEN, M","array([-8.87974735, 92.50200934])"
1271,"SAKAGUCHI, H","array([97.475895 , 60.9555487])"
1272,"SHINOMOTO, S","array([95.81858999, 59.29406712])"
1273,"SANDER, L","array([56.08604262, -7.2532667 ])"
1274,"WARREN, C","array([58.30458739, -5.99172245])"
1275,"SIMON, C","array([58.79368842, -7.57696813])"
1276,"KOOPMAN, J","array([57.20187323, -8.51304015])"
1277,"SATOR, N","array([97.73478943, -2.9012679 ])"
1278,"BLACKMORE, C","array([ 15.08216813, -31.09079253])"
1279,"GRANT, S","array([ 13.42297722, -36.9037918 ])"
1280,"PAYNE, B","array([ 12.89590196, -35.07967944])"
1281,"BADDELEY, R","array([ 15.21463058, -36.2889585 ])"
1282,"SCHAFER, C","array([-3.57360943,  9.78234064])"
1283,"ABEL, H","array([-2.00924478,  9.50059676])"
1284,"SCHELLING, T","array([-59.43200912,  19.50216607])"
1285,"SCHNEEBERGER, A","array([ 79.59878003, -49.81613043])"
1286,"SCHUSTER, S","array([79.19329935, 97.39873765])"
1287,"PFEIFFER, T","array([82.72882084, 97.05543969])"
1288,"MOLDENHAUER, F","array([81.35937576, 97.95878688])"
1289,"KOCH, I","array([82.06053051, 95.35264582])"
1290,"DANDEKAR, T","array([80.40360028, 95.52483026])"
1291,"SCHUZ, A","array([-8.97678579, 55.63840877])"
1292,"SCHWARTZ, I","array([ 58.0500153 , -51.83116499])"
1293,"BILLINGS, L","array([ 56.24671054, -53.31711274])"
1294,"BOLLT, E","array([ 58.63724128, -54.40012618])"
1295,"SCHWARTZ, N","array([50.60116606, 31.2765479 ])"
1296,"SCOTT, J","array([ 61.85955773, -17.85422984])"
1297,"SEARLS, D","array([ 21.5194792 , 120.38288693])"
1298,"SEARY, A","array([92.19304172, 43.18593276])"
1299,"RICHARDS, W","array([94.48233167, 43.60607376])"
1300,"SEDGEWICK, R","array([52.36504842,  9.25849471])"
1301,"SEGLEN, P","array([99.12886592, 31.75942917])"
1302,"SEIDMAN, S","array([ 96.88067821, -42.00186307])"
1303,"BANERJEE, K","array([ 10.93016073, 111.9432275 ])"
1304,"BISWAS, T","array([  8.70343106, 112.3134086 ])"
1305,"CHAKRABARTI, B","array([  7.06820199, 115.36653407])"
1306,"DASGUPTA, S","array([ 12.73909231, 115.36243465])"
1307,"CHATTERJEE, A","array([ 13.25557604, 117.10761282])"
1308,"SREERAM, P","array([ 11.91274602, 118.32838025])"
1309,"MUKHERJEE, G","array([ 10.20484239, 117.54356543])"
1310,"SHARDANAND, U","array([103.08076714,  -3.9737239 ])"
1311,"MAES, P","array([105.25446022,  -3.14847647])"
1312,"SHEFI, O","array([42.55719516, 21.69381994])"
1313,"GOLDING, I","array([43.81916314, 20.45150781])"
1314,"SEGEV, R","array([42.04573491, 19.63515489])"
1315,"BENJACOB, E","array([42.48497017, 24.36549755])"
1316,"AYALI, A","array([40.79039171, 21.05420964])"
1317,"SHEPARD, R","array([-1.6051947 , 63.96546001])"
1318,"SHERRINGTON, D","array([-83.25435648,  -0.45573964])"
1319,"SHOCKLEY, W","array([  4.96325433, 125.95293736])"
1320,"SHUAI, J","array([ 38.95158191, 103.77409548])"
1321,"DURAND, D","array([ 37.44080981, 105.54889535])"
1322,"SIGMAN, M","array([ 12.55753286, -16.0348038 ])"
1323,"SIMARD, D","array([-68.38473719,   6.7037438 ])"
1324,"NADEAU, L","array([-70.35090846,   8.04392633])"
1325,"KROGER, H","array([-70.50070461,   5.63901713])"
1326,"SINGH, B","array([117.62544367,  49.99517367])"
1327,"GUPTE, N","array([119.5689093 ,  51.44223588])"
1328,"SMITH, D","array([-23.86225776,  46.89099865])"
1329,"TIMBERLAKE, M","array([-23.27668967,  49.11492432])"
1330,"SMITH, R","array([-10.84165494,  74.66895042])"
1331,"SNEL, B","array([ -4.3876097 , -64.28042317])"
1332,"BORK, P","array([ -2.05680771, -63.57182578])"
1333,"HUYNEN, M","array([ -3.79179765, -61.9530617 ])"
1334,"SNIJDERS, T","array([ 31.03410995, -84.60714408])"
1335,"SOARES, D","array([ 37.41527909, -67.24958938])"
1336,"TSALLIS, C","array([ 35.50794852, -66.1202955 ])"
1337,"MARIZ, A","array([ 38.56155747, -65.53369984])"
1338,"DASILVA, L","array([ 36.86511237, -64.37590001])"
1339,"SOCOLAR, J","array([-72.00646079,  -2.80342645])"
1340,"SODERBERG, B","array([89.10285063, -0.66737289])"
1341,"SOFFER, S","array([ 5.39113799, 32.50266118])"
1342,"KEPLER, T","array([16.61182089, 41.16503782])"
1343,"SALAZARCIUDAD, I","array([20.9178074 , 50.69984554])"
1344,"GARCIAFERNANDEZ, J","array([19.09960855, 51.99718375])"
1345,"SOLOMONOFF, R","array([-19.72525995,  82.76779361])"
1346,"CRISANTI, A","array([ 22.28223575, -62.48589074])"
1347,"SONG, C","array([55.30706264, 25.09315524])"
1348,"MAKSE, H","array([56.69560423, 26.70321939])"
1349,"SONG, S","array([65.6006012 , 76.54357375])"
1350,"SJOSTROM, P","array([64.94329373, 79.43684999])"
1351,"REIGL, M","array([66.35131332, 78.37603329])"
1352,"NELSON, S","array([64.26788993, 77.66149816])"
1353,"SOTELO, C","array([79.88411305, 59.59430087])"
1354,"SPIRIN, V","array([-46.26833069,  91.7182052 ])"
1355,"MIRNY, L","array([-48.64031007,  91.93981508])"
1356,"SPORNS, O","array([ 17.37632917, -23.38676106])"
1357,"TONONI, G","array([ 21.33423102, -20.4166615 ])"
1358,"EDELMAN, G","array([ 19.95670309, -19.43040174])"
1359,"ZWI, J","array([ 16.84929593, -20.38418379])"
1360,"STAM, C","array([-28.02996811,  99.54032916])"
1361,"AHARONY, A","array([36.25020093, 64.73304792])"
1362,"ADLER, J","array([37.92359005, 65.89485757])"
1363,"MEYERORTMANNS, H","array([40.67894301, 61.40555283])"
1364,"STELLING, J","array([75.63995754, 97.80069764])"
1365,"KLAMT, S","array([76.98917795, 96.82498794])"
1366,"BETTENBROCK, K","array([77.95453799, 99.26751502])"
1367,"GILLES, E","array([76.31353584, 99.49773336])"
1368,"KAMPER, L","array([ 18.85568169, -28.65247865])"
1369,"BOZKURT, A","array([ 17.55381538, -27.82073224])"
1370,"STEPHENSON, K","array([48.91490971, 98.40893895])"
1371,"ZELEN, M","array([ 49.8331301 , 100.60393358])"
1372,"STEYVERS, M","array([  7.73594533, 105.07602535])"
1373,"TENENBAUM, J","array([  9.83824073, 104.03826132])"
1374,"STILLER, J","array([ 51.68522461, 108.8062946 ])"
1375,"NETTLE, D","array([ 53.96663702, 109.44152014])"
1376,"DUNBAR, R","array([ 52.29219567, 111.06963504])"
1377,"STILWELL, D","array([ 60.98837282, -55.4668688 ])"
1378,"ROBERSON, D","array([ 59.19297706, -56.89387047])"
1379,"STONEHAM, A","array([77.88411164,  0.88921219])"
1380,"STUART, J","array([-44.33562027, -16.01123001])"
1381,"SUCHECKI, K","array([  6.61601243, -22.04452345])"
1382,"SVENSON, P","array([-10.17359335, -40.03799194])"
1383,"SWEDBERG, R","array([34.25189546,  7.50467275])"
1384,"SZABO, G","array([49.04361823, 67.33869614])"
1385,"ALAVA, M","array([47.33831325, 66.41573868])"
1386,"SZNAJDWERON, K","array([-37.11728303,  54.79673821])"
1387,"SZNAJD, J","array([-38.34431266,  56.8025186 ])"
1388,"SZYMANSKI, J","array([-34.91523969,  62.98739494])"
1389,"THURNER, S","array([57.15442343, 46.59232521])"
1390,"TAKAYASU, M","array([109.62837622, -28.40911451])"
1391,"TAKAYASU, H","array([111.42335279, -29.91174588])"
1392,"SATO, T","array([111.85054779, -27.57892846])"
